date,diesel_inr_delhi
2017-05-01,57.35
2017-06-01,55.94
2017-07-01,53.33
2017-08-01,55.58
2017-09-01,57.13
2017-10-01,58.92
2017-11-01,57.73
2017-12-01,58.4
2018-01-01,59.7
2018-02-01,64.11
2018-03-01,62.25
2018-04-01,64.58
2018-05-01,65.93
2018-06-01,69.2
2018-07-01,67.38
2018-08-01,67.82
2018-09-01,70.42
2018-10-01,75.09
2018-11-01,73.78
2018-12-01,67.35
2019-01-01,62.66
2019-02-01,65.71
2019-03-01,67.12
2019-04-01,66.09
2019-05-01,66.71
2019-06-01,66.36
2019-07-01,64.27
2019-08-01,66.0
2019-09-01,65.09
2019-10-01,67.49
2019-11-01,65.8
2019-12-01,65.78
2020-01-01,67.96
2020-02-01,66.22
2020-03-01,64.1
2020-04-01,62.29
2020-05-01,62.29
2020-06-01,69.39
2020-07-01,80.53
2020-08-01,73.56
2020-09-01,73.56
2020-10-01,70.63
2020-11-01,70.46
2020-12-01,72.42
2021-01-01,73.87
2021-02-01,76.48
2021-03-01,81.47
2021-04-01,80.87
2021-05-01,80.73
2021-06-01,85.38
2021-07-01,89.18
2021-08-01,89.87
2021-09-01,88.77
2021-10-01,90.17
2021-11-01,98.42
2021-12-01,86.67
2022-01-01,86.67
2022-02-01,86.67
2022-03-01,86.67
2022-04-01,93.07
2022-05-01,96.67
2022-06-01,96.72
2022-07-01,89.62
2022-08-01,89.62
2022-09-01,89.62
2022-10-01,89.62
2022-12-01,89.62
2024-03-01,89.62
2026-01-01,87.67
