date,inr_per_usd
2005-01-01,44.099975
2005-02-01,44.20056111111111
2005-03-01,44.30114722222222
2005-04-01,44.401733333333326
2005-05-01,44.50231944444443
2005-06-01,44.602905555555544
2005-07-01,44.70349166666665
2005-08-01,44.804077777777756
2005-09-01,44.90466388888887
2005-10-01,45.005249999999975
2005-11-01,45.10583611111108
2005-12-01,45.206422222222194
2006-01-01,45.3070083333333
2006-02-01,44.977135416666634
2006-03-01,44.64726249999997
2006-04-01,44.3173895833333
2006-05-01,43.987516666666636
2006-06-01,43.65764374999997
2006-07-01,43.3277708333333
2006-08-01,42.99789791666663
2006-09-01,42.668024999999965
2006-10-01,42.3381520833333
2006-11-01,42.00827916666663
2006-12-01,41.678406249999966
2007-01-01,41.3485333333333
2007-02-01,41.528254166666635
2007-03-01,41.70797499999997
2007-04-01,41.8876958333333
2007-05-01,42.06741666666663
2007-06-01,42.247137499999965
2007-07-01,42.4268583333333
2007-08-01,42.606579166666634
2007-09-01,42.78629999999997
2007-10-01,42.966020833333296
2007-11-01,43.14574166666663
2007-12-01,43.325462499999965
2008-01-01,43.5051833333333
2008-02-01,43.913523611111074
2008-03-01,44.32186388888885
2008-04-01,44.730204166666624
2008-05-01,45.1385444444444
2008-06-01,45.546884722222174
2008-07-01,45.95522499999995
2008-08-01,46.363565277777724
2008-09-01,46.7719055555555
2008-10-01,47.180245833333274
2008-11-01,47.58858611111105
2008-12-01,47.996926388888824
2009-01-01,48.4052666666666
2009-02-01,48.18197878787873
2009-03-01,47.95869090909085
2009-04-01,47.735403030302976
2009-05-01,47.5121151515151
2009-06-01,47.288827272727225
2009-07-01,47.065539393939346
2009-08-01,46.842251515151474
2009-09-01,46.6189636363636
2009-10-01,46.395675757575724
2009-11-01,46.17238787878785
2009-12-01,45.94909999999997
2010-01-01,45.7258121212121
2010-02-01,45.80453333333332
2010-03-01,45.883254545454534
2010-04-01,45.96197575757575
2010-05-01,46.04069696969697
2010-06-01,46.11941818181818
2010-07-01,46.1981393939394
2010-08-01,46.276860606060616
2010-09-01,46.35558181818183
2010-10-01,46.43430303030305
2010-11-01,46.513024242424265
2010-12-01,46.59174545454548
2011-01-01,46.6704666666667
2011-02-01,47.234363888888915
2011-03-01,47.79826111111113
2011-04-01,48.36215833333335
2011-05-01,48.926055555555564
2011-06-01,49.48995277777778
2011-07-01,50.05385
2011-08-01,50.61774722222222
2011-09-01,51.18164444444444
2011-10-01,51.745541666666654
2011-11-01,52.30943888888887
2011-12-01,52.87333611111109
2012-01-01,53.4372333333333
2012-02-01,53.867284340277756
2012-03-01,54.2973353472222
2012-04-01,54.727386354166654
2012-05-01,55.1574373611111
2012-06-01,55.58748836805555
2012-07-01,56.017539375000005
2012-08-01,56.44759038194445
2012-09-01,56.877641388888904
2012-10-01,57.30769239583335
2012-11-01,57.7377434027778
2012-12-01,58.16779440972225
2013-01-01,58.5978454166667
2013-02-01,58.8004845036765
2013-03-01,59.0031235906863
2013-04-01,59.2057626776961
2013-05-01,59.4084017647059
2013-06-01,59.6110408517157
2013-07-01,59.8136799387255
2013-08-01,60.0163190257353
2013-09-01,60.2189581127451
2013-10-01,60.4215971997549
2013-11-01,60.6242362867647
2013-12-01,60.8268753737745
2014-01-01,61.0295144607843
2014-02-01,61.28971696099216
2014-03-01,61.54991946120001
2014-04-01,61.81012196140787
2014-05-01,62.07032446161573
2014-06-01,62.33052696182359
2014-07-01,62.59072946203145
2014-08-01,62.85093196223931
2014-09-01,63.11113446244716
2014-10-01,63.37133696265502
2014-11-01,63.63153946286288
2014-12-01,63.891741963070736
2015-01-01,64.1519444632786
2015-02-01,64.4055584919545
2015-03-01,64.65917252063039
2015-04-01,64.9127865493063
2015-05-01,65.1664005779822
2015-06-01,65.4200146066581
2015-07-01,65.673628635334
2015-08-01,65.9272426640099
2015-09-01,66.1808566926858
2015-10-01,66.4344707213617
2015-11-01,66.6880847500376
2015-12-01,66.9416987787135
2016-01-01,67.1953128073894
2016-02-01,67.02250079386243
2016-03-01,66.84968878033548
2016-04-01,66.67687676680853
2016-05-01,66.50406475328157
2016-06-01,66.3312527397546
2016-07-01,66.15844072622765
2016-08-01,65.9856287127007
2016-09-01,65.81281669917374
2016-10-01,65.64000468564677
2016-11-01,65.46719267211982
2016-12-01,65.29438065859287
2017-01-01,65.1215686450659
2017-02-01,65.39389351577226
2017-03-01,65.66621838647862
2017-04-01,65.93854325718497
2017-05-01,66.21086812789133
2017-06-01,66.48319299859769
2017-07-01,66.75551786930404
2017-08-01,67.02784274001041
2017-09-01,67.30016761071677
2017-10-01,67.57249248142313
2017-11-01,67.84481735212948
2017-12-01,68.11714222283584
2018-01-01,68.3894670935422
2018-02-01,68.55870654707661
2018-03-01,68.72794600061101
2018-04-01,68.89718545414541
2018-05-01,69.06642490767983
2018-06-01,69.23566436121425
2018-07-01,69.40490381474865
2018-08-01,69.57414326828305
2018-09-01,69.74338272181747
2018-10-01,69.91262217535188
2018-11-01,70.08186162888629
2018-12-01,70.25110108242069
2019-01-01,70.4203405359551
2019-02-01,70.72694273159262
2019-03-01,71.03354492723012
2019-04-01,71.34014712286763
2019-05-01,71.64674931850514
2019-06-01,71.95335151414265
2019-07-01,72.25995370978016
2019-08-01,72.56655590541766
2019-09-01,72.87315810105517
2019-10-01,73.17976029669268
2019-11-01,73.48636249233019
2019-12-01,73.7929646879677
2020-01-01,74.0995668836052
2020-02-01,74.08443737792436
2020-03-01,74.06930787224353
2020-04-01,74.05417836656268
2020-05-01,74.03904886088183
2020-06-01,74.023919355201
2020-07-01,74.00878984952016
2020-08-01,73.99366034383931
2020-09-01,73.97853083815848
2020-10-01,73.96340133247763
2020-11-01,73.94827182679678
2020-12-01,73.93314232111595
2021-01-01,73.9180128154351
2021-02-01,74.30855262939815
2021-03-01,74.6990924433612
2021-04-01,75.08963225732423
2021-05-01,75.48017207128727
2021-06-01,75.87071188525032
2021-07-01,76.26125169921335
2021-08-01,76.65179151317639
2021-09-01,77.04233132713944
2021-10-01,77.43287114110248
2021-11-01,77.82341095506553
2021-12-01,78.21395076902856
2022-01-01,78.6044905829916
2022-02-01,78.9373894049155
2022-03-01,79.2702882268394
2022-04-01,79.6031870487633
2022-05-01,79.93608587068721
2022-06-01,80.2689846926111
2022-07-01,80.601883514535
2022-08-01,80.93478233645891
2022-09-01,81.2676811583828
2022-10-01,81.6005799803067
2022-11-01,81.93347880223061
2022-12-01,82.2663776241545
2023-01-01,82.5992764460784
2023-02-01,82.68844354065028
2023-03-01,82.77761063522217
2023-04-01,82.86677772979405
2023-05-01,82.95594482436594
2023-06-01,83.04511191893782
2023-07-01,83.13427901350971
2023-08-01,83.22344610808159
2023-09-01,83.31261320265347
2023-10-01,83.40178029722536
2023-11-01,83.49094739179723
2023-12-01,83.58011448636913
2024-01-01,83.669281580941
